,memberID,b_g,total_hits
329,1028,786 1,0.101701392
330,1049,1018 1,0.956719672
331,1049,1214 0,0.318906557
332,1049,1214 1,44.00910491
333,1138,115 0,0.318906557
334,1138,1214 0,0.956719672
335,1138,1319 0,0.318906557
336,1138,133 0,0.318906557
337,1138,1372 0,0.637813115
338,1138,1512 0,0.064866482
339,1138,1593 0,0.956719672
340,1138,2431 2,0.032433241
341,1138,256 0,0.318906557
342,1138,258 0,0.376339177
343,1138,259 0,8.29157049
344,1138,261 0,0.956719672
345,1138,290 0,0.318906557
346,1138,345 0,0.318906557
347,1138,380 0,0.057432619
348,1138,388 0,0.318906557
349,1138,407 0,0.637813115
350,1138,425 0,0.637813115
351,1138,485 0,1.275626229
352,1138,527 0,0.318906557
353,1138,59 0,0.057432619
354,1138,657 0,0.637813115
355,1138,700 0,0.114865239
356,1138,838 0,2.232345901
357,1138,961 0,0.637813115
358,1138,971 0,1.913439344
359,1158,238 1,1.021678886
360,1158,425 1,0.360184624
361,1158,635 1,0.064866482
362,1158,921 1,0.032433241
363,1338,115 0,1.66971318
364,1338,1214 0,0.564718122
365,1338,18 0,1.440738497
366,1338,19 0,0.360184624
367,1338,191 0,0.180092312
368,1338,266 0,0.360184624
369,1338,366 0,0.564718122
370,1338,460 0,0.744810434
371,1338,527 0,0.360184624
372,1338,626 0,0.540276936
373,1338,7 0,0.564718122
374,1338,840 0,0.180092312
375,1351,1030 1,0.101701392
376,1351,1036 0,1.243809304
377,1351,1036 1,26.75311547
378,1351,1359 1,0.064866482
379,1351,365 1,0.508506962
380,1351,787 1,0.101701392
381,1357,238 1,1.129436244
382,1357,667 1,0.564718122
383,1357,764 1,0.564718122
384,1400,1017 1,0.101701392
385,1400,1061 1,0.101701392
386,1400,115 1,1.830625061
387,1400,1224 1,0.101701392
388,1400,1237 1,0.101701392
389,1400,1247 1,0.101701392
390,1400,133 1,0.203402785
391,1400,1390 1,0.101701392
392,1400,1440 1,0.203402785
393,1400,158 1,0.101701392
394,1400,172 1,0.203402785
395,1400,2 1,0.101701392
396,1400,238 1,0.318906557
397,1400,256 1,0.101701392
398,1400,349 1,0.918921908
399,1400,354 1,0.406805569
400,1400,365 1,0.711909746
401,1400,375 1,0.508506962
402,1400,383 1,0.305104177
403,1400,388 1,1.017013923
404,1400,420 1,0.305104177
405,1400,425 1,1.72866742
406,1400,485 1,0.101701392
407,1400,59 1,0.101701392
408,1400,626 1,0.305104177
409,1400,701 1,0.956719672
410,1400,796 1,0.101701392
411,1400,858 1,5.528197596
412,1400,868 1,0.101701392
413,1400,92 1,0.101701392
414,1481,1324 1,1.594532787
415,1481,285 1,0.318906557
416,1481,349 0,0.318906557
417,1481,349 1,1.129436244
418,1481,365 1,0.318906557
419,1481,555 1,0.318906557
420,1481,924 1,2.448342801
421,1497,1214 0,18
422,1497,1214 1,262.2943624
423,1497,1237 1,1
424,1537,875 0,0.287163096
425,1586,133 1,6.378131146
426,1586,786 1,6.378131146
427,1794,1489 0,0.180092312
428,1794,425 0,0.203402785
429,1794,541 0,0.180092312
430,1794,700 0,0.180092312
431,1802,1137 1,0.101701392
432,1802,1441 1,0.064866482
433,1802,15 1,0.351339798
434,1864,1094 1,0.032433241
435,1864,1120 1,6.295846038
436,1864,1225 1,28.62790765
437,1864,1383 1,0.032433241
438,1864,1529 1,0.032433241
439,1864,386 1,0.032433241
440,1864,555 1,0.032433241
441,1864,768 1,6.211899342
442,1864,771 1,0.064866482
443,1864,881 1,0.564718122
444,2024,1214 1,7.015944261
445,2032,425 1,0.064866482
446,2032,864 1,0.162166204
447,2038,1214 1,3.534498717
448,2053,1160 1,0.032433241
449,2053,119 1,0.180092312
450,2053,1224 1,0.180092312
451,2053,1228 1,3.912967774
452,2053,1266 1,0.180092312
453,2053,1431 1,1.514916966
454,2053,15 1,1.524362322
455,2053,1501 1,5.071750221
456,2053,1547 1,0.057432619
457,2053,1553 1,0.032433241
458,2053,172 1,0.259465927
459,2053,411 0,0.324332409
460,2053,421 1,0.318906557
461,2053,540 1,0.554742583
462,2053,629 1,0.032433241
463,2053,700 1,0.101701392
464,2053,763 1,0.648664818
465,2053,980 1,2
466,2059,764 1,0.101701392
467,2079,1214 1,1.440738497
468,2079,267 1,0.180092312
469,2079,406 0,0.129732964
470,2079,406 1,0.486498613
471,2079,924 1,0.260835404
472,2281,133 0,5.740318032
473,2281,172 0,0.318906557
474,2281,19 0,1.764224452
475,2281,396 0,0.318906557
476,2281,403 0,0.318906557
477,2281,700 1,1.594532787
478,2281,765 0,0.318906557
479,2281,883 0,2.870159016
480,2281,988 0,4.145785245
481,2289,1040 1,0.101701392
482,2289,147 1,1.3221181
483,2289,1533 1,0.101701392
